,actual_answer,response,stimulus_duration,reaction_time,correct,vivid
0,1.0,1.0,0.025,2.8992597910109907,1,3.0
1,2.0,1.0,0.425,3.0356874159770086,0,3.0
2,2.0,1.0,0.125,1.114609999989625,0,3.0
3,2.0,1.0,0.1,0.6423879989888519,0,2.0
4,2.0,1.0,0.025,3.237857666972559,0,1.0
5,2.0,2.0,0.35,1.0907696670037694,1,2.0
6,2.0,1.0,0.125,8.43367954104906,0,1.0
7,2.0,1.0,0.225,1.557291915989481,0,3.0
8,1.0,1.0,0.2,1.1240719999768771,1,2.0
9,2.0,1.0,0.05,1.1061900409986265,0,1.0
10,1.0,2.0,0.275,2.534655041003134,0,2.0
11,2.0,1.0,0.025,5.303463707969058,0,2.0
12,1.0,1.0,0.275,2.2392961240257137,1,2.0
13,1.0,2.0,0.275,4.02527037501568,0,2.0
14,2.0,2.0,0.05,1.3368389579700306,1,3.0
15,2.0,1.0,0.2,1.302795291005168,0,2.0
16,1.0,1.0,0.175,2.015407792001497,1,2.0
17,1.0,1.0,0.1,1.2456305410014463,1,3.0
18,2.0,2.0,0.1,1.8186927079805173,1,3.0
19,1.0,1.0,0.475,0.6369030000059865,1,4.0
20,1.0,1.0,0.5,3.091284250025637,1,3.0
21,1.0,1.0,0.375,1.378865207952913,1,3.0
22,1.0,1.0,0.125,0.8954469989985228,1,3.0
23,2.0,1.0,0.25,2.146446415979881,0,3.0
24,1.0,1.0,0.075,1.508526958001312,1,3.0
25,2.0,1.0,0.225,1.5700000829529015,0,4.0
26,1.0,1.0,0.45,1.6115584580111315,1,2.0
27,2.0,1.0,0.025,1.7709379159496166,0,3.0
28,2.0,1.0,0.1,4.217750333016738,0,3.0
29,2.0,2.0,0.35,2.0652476659743115,1,3.0
30,1.0,1.0,0.075,6.277132874995004,1,3.0
31,1.0,2.0,0.275,1.2955150829511697,0,3.0
32,2.0,2.0,0.5,2.319297624984756,1,3.0
33,2.0,2.0,0.075,2.24410833301954,1,3.0
34,2.0,1.0,0.075,9.218708457949106,0,1.0
35,1.0,1.0,0.05,3.0995190830435604,1,3.0
36,2.0,2.0,0.25,0.7838037079782225,1,3.0
37,1.0,1.0,0.5,2.2755047499667853,1,4.0
38,2.0,2.0,0.1,1.428168457990978,1,3.0
39,2.0,1.0,0.2,1.320346749969758,0,3.0
40,2.0,2.0,0.25,0.6389094169717282,1,3.0
41,2.0,2.0,0.25,2.2031375829828903,1,3.0
42,1.0,2.0,0.425,4.449306166963652,0,4.0
43,2.0,1.0,0.45,1.527623166970443,0,2.0
44,2.0,2.0,0.35,0.7462519989931025,1,2.0
45,2.0,1.0,0.275,3.0431097500259057,0,2.0
46,2.0,1.0,0.1,0.935800792009104,0,3.0
47,2.0,2.0,0.475,0.6477535410085693,1,4.0
48,1.0,2.0,0.05,0.9668145829928108,0,3.0
49,1.0,1.0,0.05,8.443291124945972,1,1.0
50,1.0,1.0,0.225,0.4532844999921508,1,2.0
51,1.0,2.0,0.4,1.6997740420047194,0,2.0
52,1.0,1.0,0.1,1.2240150420111604,1,2.0
53,1.0,2.0,0.1,0.9750789160025306,0,2.0
54,2.0,2.0,0.025,1.2226241659955122,1,3.0
55,2.0,2.0,0.225,1.456728250021115,1,3.0
56,2.0,2.0,0.45,1.060242958017625,1,4.0
57,1.0,2.0,0.2,0.9759617079980673,0,3.0
58,1.0,1.0,0.025,1.7451440829900091,1,2.0
59,2.0,2.0,0.35,1.018751333002001,1,4.0
60,1.0,1.0,0.2,2.5603512920206413,1,2.0
61,1.0,1.0,0.05,0.7754428330226801,1,2.0
62,1.0,1.0,0.15,2.561714290990494,1,3.0
63,2.0,2.0,0.125,1.241942749998998,1,3.0
64,2.0,1.0,0.325,2.5017925419961102,0,3.0
65,2.0,1.0,0.225,2.0043107079691254,0,3.0
66,2.0,2.0,0.475,0.5311214579851367,1,3.0
67,1.0,2.0,0.15,2.7408203749801032,0,2.0
68,1.0,1.0,0.125,0.713355915970169,1,3.0
69,1.0,1.0,0.4,0.784381541016046,1,4.0
70,1.0,1.0,0.175,0.8710249160067178,1,3.0
71,1.0,1.0,0.475,0.5767410419648513,1,4.0
72,1.0,1.0,0.375,0.6132114159991033,1,4.0
73,1.0,2.0,0.175,3.126188041991554,0,3.0
74,2.0,2.0,0.05,1.2479617079952732,1,3.0
75,2.0,2.0,0.125,2.0953506659716368,1,2.0
76,2.0,1.0,0.125,7.332868625002447,0,3.0
77,1.0,2.0,0.05,1.270484457956627,0,1.0
78,1.0,2.0,0.275,1.3112611250253394,0,2.0
79,2.0,1.0,0.325,0.7019539579632692,0,2.0
80,1.0,1.0,0.15,0.6373665829887614,1,3.0
81,2.0,1.0,0.3,0.4395015829941258,0,2.0
82,2.0,2.0,0.275,0.7067971660289913,1,3.0
83,2.0,1.0,0.325,1.381797208043281,0,2.0
84,1.0,1.0,0.1,0.5756511240033433,1,4.0
85,2.0,2.0,0.35,0.7557172079687007,1,2.0
86,2.0,2.0,0.35,0.7939227909664623,1,2.0
87,2.0,1.0,0.175,1.5702657080255449,0,2.0
88,2.0,2.0,0.5,1.1449119580211118,1,4.0
89,1.0,1.0,0.475,0.5977546659996733,1,2.0
90,1.0,1.0,0.25,0.8289787080138922,1,3.0
91,2.0,2.0,0.2,0.8430963330320083,1,4.0
92,1.0,1.0,0.4,0.697578291001264,1,3.0
93,1.0,2.0,0.2,0.5782838740269653,0,4.0
94,2.0,2.0,0.125,0.7457476659910753,1,3.0
95,2.0,1.0,0.4,0.4639167499844916,0,2.0
96,1.0,1.0,0.05,1.2823885830002837,1,2.0
97,2.0,1.0,0.2,1.9370984999695795,0,2.0
98,1.0,1.0,0.2,0.8597594579914585,1,3.0
99,1.0,1.0,0.4,1.0612472500069998,1,3.0
100,1.0,1.0,0.2,0.0865140419919043,1,2
101,2.0,1.0,0.475,2.5899946659919806,0,2
102,1.0,1.0,0.05,1.3464393750182353,1,2
103,1.0,2.0,0.2,2.433327208040282,0,3
104,1.0,1.0,0.35,1.6421094160177745,1,3
105,2.0,1.0,0.45,3.3227983330143616,0,3
106,1.0,1.0,0.35,2.994486748997588,1,2
107,2.0,2.0,0.325,3.453080790990498,1,3
108,1.0,1.0,0.225,1.2758654989884235,1,2
109,1.0,2.0,0.3,1.053058208024595,0,2
110,2.0,1.0,0.3,1.8868311670375988,0,2
111,1.0,1.0,0.075,2.3576529159909114,1,1
112,1.0,2.0,0.4,1.1733324580127371,0,2
113,2.0,1.0,0.475,2.101749207999092,0,2
114,2.0,1.0,0.05,1.0129007499781435,0,1
115,2.0,2.0,0.2,0.7729000420076773,1,3
116,2.0,2.0,0.1,1.4866493750014342,1,[]
117,2.0,2.0,0.35,2.457086333015468,1,3
118,1.0,1.0,0.15,1.7754967489745468,1,2
119,2.0,1.0,0.25,1.3435866669751704,0,3
120,1.0,1.0,0.25,2.055038125021383,1,2
121,2.0,1.0,0.425,1.1579309160006233,0,3
122,1.0,2.0,0.15,1.6361445410293527,0,2
123,2.0,1.0,0.45,0.6105516669922508,0,3
124,2.0,2.0,0.35,2.484514083014801,1,3
125,1.0,1.0,0.475,0.8490926240338013,1,4
126,2.0,2.0,0.05,1.9447749580140223,1,2
127,2.0,1.0,0.125,2.5127169159823097,0,1
128,1.0,1.0,0.15,1.887847124016844,1,2
129,2.0,1.0,0.075,1.2379474579938687,0,2
130,1.0,1.0,0.2,2.8730861239600927,1,2
131,1.0,1.0,0.45,0.5368281239643693,1,4
132,1.0,1.0,0.125,2.6731761670089327,1,2
133,1.0,1.0,0.3,3.9802587919984944,1,1
134,2.0,2.0,0.15,3.627844373986591,1,2
135,1.0,1.0,0.125,0.4220848749973811,1,4
136,2.0,2.0,0.25,0.9716775830020196,1,3
137,2.0,2.0,0.1,2.366381583036855,1,3
138,2.0,2.0,0.275,3.1416519160266034,1,2
139,2.0,2.0,0.225,1.3173460409743711,1,4
140,1.0,1.0,0.425,2.8611003740224987,1,[]
141,2.0,2.0,0.45,2.08514404197922,1,3
142,2.0,2.0,0.25,3.6974723750026897,1,3
143,2.0,2.0,0.25,0.7603353330050595,1,3
144,2.0,2.0,0.35,6.154463167011272,1,4
145,1.0,2.0,0.325,7.555243915994652,0,3
146,2.0,1.0,0.225,3.6470492079970422,0,2
147,2.0,2.0,0.3,2.6054238739889115,1,3
148,2.0,2.0,0.3,0.8225148330093361,1,2
149,2.0,2.0,0.125,2.8855340000009164,1,2
